Id,Name,Source,Max Bounty($),Total Paid Amount($),Response Time(Mins),Languages,Product Types,Project Types,Ecosystems,Program Types,Last Updated
astroport,Astroport,Immunefi,100000,0,0,"Rust","AMM","Defi","Terra","Smart Contract",2023-03-28 12:35:43.750000+00:00
rai,Rai,Immunefi,100000,0,0,"Solidity","Stablecoin","Defi","ETH","Smart Contract",2023-01-02 22:09:55.791000+00:00
bifi,BiFi,Immunefi,100000,250,2133,"Solidity","Perpetuals,Crosschain Liquidity,Wallet","Defi","ETH,Avalanche,BSC","Smart Contract",2023-07-18 15:15:40.902000+00:00
polkastarter,Polkastarter,Immunefi,100000,0,0,"Solidity","","Defi","ETH,Avalanche,Polygon,Solana,Polkadot","Smart Contract",2022-10-19 23:06:57.350000+00:00
jetprotocol,Jet Protocol,Immunefi,100000,165500,10542,"Rust","Lending","Defi","Solana","Smart Contract,Websites and Applications",2022-10-13 14:00:57.922000+00:00
popsicle,Popsicle,Immunefi,100000,0,0,"Solidity","Staking,AMM","Blockchain","ETH,Fantom,BSC","Smart Contract",2023-03-08 17:43:58.012000+00:00
coinflex,CoinFLEX,Immunefi,100000,0,0,"Solidity","AMM","Defi","ETH","Smart Contract,Websites and Applications",2022-10-13 13:58:52.017000+00:00
dforce,dForce,Immunefi,100000,0,4472,"Solidity","Stablecoin,DEX,Lending,AMM","Defi","ETH,BSC","Smart Contract",2022-11-18 16:08:44.318000+00:00
bprotocol,BProtocol,Immunefi,100000,0,0,"Solidity","Lending","Defi","ETH","Smart Contract",2023-06-26 17:43:46.203000+00:00
alpacafinance,Alpaca Finance,Immunefi,100000,0,0,"Solidity","Lending","Defi","BSC","Smart Contract",2023-05-03 05:38:05.058000+00:00
mux,MUX,Immunefi,100000,0,0,"Solidity","DEX","Defi","ETH","Smart Contract,Websites and Applications",2023-03-08 18:34:18.748000+00:00
dodo,DODO,Immunefi,100000,0,0,"Solidity","DEX,AMM","Defi","ETH,Polygon,BSC","Smart Contract",2023-05-07 17:38:25.510000+00:00
shadowfarm,Shadow Farm,Immunefi,100000,0,0,"Solidity","Staking,Yield Aggregator","Defi","Fantom","Smart Contract",2022-10-13 14:03:32.794000+00:00
ease,Ease,Immunefi,100000,0,0,"Solidity","Insurance Aggregator","Defi","ETH","Smart Contract",2022-10-13 13:59:30.748000+00:00
summerfi,Summer.fi,Immunefi,100000,26000,2093,"Solidity","Perpetuals,Lending,Wallet,Options","Defi","ETH","Smart Contract,Websites and Applications",2023-06-26 16:44:11.985000+00:00
synthetix,Synthetix,Immunefi,100000,0,0,"Solidity","Synthetic Assets,DEX","Defi","ETH,Optimism","Smart Contract",2023-03-08 17:55:10.327000+00:00
primitive,Primitive,Immunefi,100000,0,0,"Solidity","AMM,Options","Defi","ETH,Optimism,Arbitrum","Smart Contract",2023-05-26 18:24:35.567000+00:00
harvest,Harvest Finance,Immunefi,100000,0,0,"Solidity","Yield Aggregator","Defi","ETH","Smart Contract",2023-04-03 22:28:45.597000+00:00
impossiblefinance,Impossible Finance,Immunefi,94000,0,0,"Solidity","Launchpad","Defi","ETH,BSC","Smart Contract",2023-04-04 14:47:47.023000+00:00
forta,Forta Network,Immunefi,80000,86100,10580,"Solidity","Bug bounty,Crosschain Liquidity","Defi,NFT","ETH,Polygon","Smart Contract,Websites and Applications,Blockchain/DLT",2023-05-09 14:10:15.734000+00:00
horizen,Horizen (Gobi Testnet),Immunefi,75000,0,0,"Rust","Bug bounty,L2,L1","Blockchain","","Blockchain/DLT",2023-04-21 04:07:57.093000+00:00
bondprotocol,Bond Protocol,Immunefi,75000,0,0,"Solidity","","Defi","ETH","Smart Contract",2023-02-16 17:09:19.331000+00:00
beefyfinance,Beefy Finance,Immunefi,75000,0,0,"Solidity","Yield Aggregator","Defi","Polygon","Smart Contract,Websites and Applications",2022-10-13 13:58:04.474000+00:00
sora,SORA,Immunefi,70000,0,0,"Solidity,Rust","DEX,Crosschain Liquidity,AMM","Defi","Polkadot","Websites and Applications,Blockchain/DLT",2023-01-29 03:42:33.646000+00:00
marsecosystem,Mars Ecosystem,Immunefi,60000,0,0,"Solidity","Stablecoin","Defi","ETH,BSC","Smart Contract,Websites and Applications",2022-10-13 14:01:31.125000+00:00
paladin,Paladin,Immunefi,60000,0,0,"Solidity","Lending","Defi","ETH","Smart Contract",2022-10-25 10:07:32.439000+00:00
cowprotocol,CoW Protocol,Immunefi,54000,0,0,"Solidity","Wallet","Defi","ETH","Smart Contract",2023-01-25 16:12:24.985000+00:00
metastreet,MetaStreet,Immunefi,50000,0,0,"Solidity","Lending","Defi,NFT","ETH","Smart Contract",2023-08-02 22:08:53.605000+00:00
axiom,Axiom,Immunefi,50000,0,0,"Solidity,Rust","","Infrastructure","ETH","Smart Contract",2023-07-25 15:11:37.168000+00:00
galagames,Gala Games,Immunefi,50000,0,0,"Solidity","Wallet","Blockchain,Infrastructure,NFT","ETH","Smart Contract,Websites and Applications",2023-07-17 18:13:21.863000+00:00
sommelier,Sommelier,Immunefi,50000,0,0,"Solidity,Rust","","Defi","ETH","Smart Contract,Websites and Applications,Blockchain/DLT",2023-05-24 13:57:08.498000+00:00
sense,Sense,Immunefi,50000,91000,6329,"Solidity","Lending,Yield Aggregator","Defi","ETH","Smart Contract,Websites and Applications",2023-02-17 17:08:35.097000+00:00
vesper,Vesper,Immunefi,100000,0,0,"Solidity","Yield Aggregator","Defi","ETH","Smart Contract",2023-04-21 20:23:11.029000+00:00
